"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 1997 to Mar 1998","South West","Scotland thousands","181",181,3,"Between regions"
"Apr 1997 to Mar 1998","South West","Journeys within South West thousands","10,045",10045,3,"Within region"
"Apr 1997 to Mar 1998","Wales","North East thousands","47",47,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","North West thousands","1,186",1186,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","Yorkshire and the Humber thousands","129",129,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","East Midlands thousands","113",113,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","West Midlands thousands","650",650,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","East England thousands","121",121,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","London thousands","1,555",1555,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","South East thousands","492",492,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","South West thousands","1,236",1236,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","Scotland thousands","72",72,3,"Between regions"
"Apr 1997 to Mar 1998","Wales","Journeys within Wales thousands","9,747",9747,3,"Within region"
"Apr 1997 to Mar 1998","West Midlands","North East thousands","178",178,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","North West thousands","1,859",1859,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","Yorkshire and the Humber thousands","540",540,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","East Midlands thousands","1,800",1800,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","East England thousands","422",422,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","London thousands","4,687",4687,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","South East thousands","1,299",1299,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","South West thousands","839",839,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","Wales thousands","650",650,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","Scotland thousands","228",228,3,"Between regions"
"Apr 1997 to Mar 1998","West Midlands","Journeys within West Midlands thousands","14,499",14499,3,"Within region"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","North East thousands","1,050",1050,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","North West thousands","3,447",3447,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","East Midlands thousands","1,614",1614,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","West Midlands thousands","540",540,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","East England thousands","516",516,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","London thousands","3,334",3334,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","South East thousands","514",514,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","South West thousands","362",362,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","Wales thousands","129",129,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","Scotland thousands","603",603,3,"Between regions"
"Apr 1997 to Mar 1998","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","17,830",17830,3,"Within region"
"Apr 1998 to Mar 1999","East Midlands","North East thousands","179",179,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","North West thousands","1,481",1481,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","Yorkshire and the Humber thousands","1,635",1635,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","West Midlands thousands","1,947",1947,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","East England thousands","949",949,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","London thousands","5,036",5036,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","South East thousands","717",717,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","South West thousands","278",278,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","Wales thousands","117",117,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","Scotland thousands","158",158,4,"Between regions"
"Apr 1998 to Mar 1999","East Midlands","Journeys within East Midlands thousands","5,802",5802,4,"Within region"
"Apr 1998 to Mar 1999","East England","North East thousands","282",282,4,"Between regions"
"Apr 1998 to Mar 1999","East England","North West thousands","594",594,4,"Between regions"
"Apr 1998 to Mar 1999","East England","Yorkshire and the Humber thousands","548",548,4,"Between regions"
"Apr 1998 to Mar 1999","East England","East Midlands thousands","949",949,4,"Between regions"
"Apr 1998 to Mar 1999","East England","West Midlands thousands","476",476,4,"Between regions"
"Apr 1998 to Mar 1999","East England","London thousands","79,294",79294,4,"Between regions"
"Apr 1998 to Mar 1999","East England","South East thousands","2,151",2151,4,"Between regions"
"Apr 1998 to Mar 1999","East England","South West thousands","399",399,4,"Between regions"
"Apr 1998 to Mar 1999","East England","Wales thousands","126",126,4,"Between regions"
"Apr 1998 to Mar 1999","East England","Scotland thousands","270",270,4,"Between regions"
"Apr 1998 to Mar 1999","East England","Journeys within East England thousands","15,131",15131,4,"Within region"
"Apr 1998 to Mar 1999","London","North East thousands","1,556",1556,4,"Between regions"
"Apr 1998 to Mar 1999","London","North West thousands","5,454",5454,4,"Between regions"
"Apr 1998 to Mar 1999","London","Yorkshire and the Humber thousands","3,632",3632,4,"Between regions"
"Apr 1998 to Mar 1999","London","East Midlands thousands","5,036",5036,4,"Between regions"
"Apr 1998 to Mar 1999","London","West Midlands thousands","5,091",5091,4,"Between regions"
"Apr 1998 to Mar 1999","London","East England thousands","79,294",79294,4,"Between regions"
"Apr 1998 to Mar 1999","London","South East thousands","112,401",112401,4,"Between regions"
"Apr 1998 to Mar 1999","London","South West thousands","7,222",7222,4,"Between regions"
"Apr 1998 to Mar 1999","London","Wales thousands","1,611",1611,4,"Between regions"
"Apr 1998 to Mar 1999","London","Scotland thousands","1,468",1468,4,"Between regions"
"Apr 1998 to Mar 1999","London","Journeys within London thousands","235,086",235086,4,"Within region"
"Apr 1998 to Mar 1999","North East","North West thousands","557",557,4,"Between regions"
"Apr 1998 to Mar 1999","North East","Yorkshire and the Humber thousands","1,135",1135,4,"Between regions"
"Apr 1998 to Mar 1999","North East","East Midlands thousands","179",179,4,"Between regions"
"Apr 1998 to Mar 1999","North East","West Midlands thousands","201",201,4,"Between regions"
"Apr 1998 to Mar 1999","North East","East England thousands","282",282,4,"Between regions"
"Apr 1998 to Mar 1999","North East","London thousands","1,556",1556,4,"Between regions"
"Apr 1998 to Mar 1999","North East","South East thousands","253",253,4,"Between regions"
"Apr 1998 to Mar 1999","North East","South West thousands","171",171,4,"Between regions"
"Apr 1998 to Mar 1999","North East","Wales thousands","47",47,4,"Between regions"
"Apr 1998 to Mar 1999","North East","Scotland thousands","877",877,4,"Between regions"
"Apr 1998 to Mar 1999","North East","Journeys within North East thousands","3,865",3865,4,"Within region"
"Apr 1998 to Mar 1999","North West","North East thousands","557",557,4,"Between regions"
"Apr 1998 to Mar 1999","North West","Yorkshire and the Humber thousands","3,576",3576,4,"Between regions"
"Apr 1998 to Mar 1999","North West","East Midlands thousands","1,481",1481,4,"Between regions"
"Apr 1998 to Mar 1999","North West","West Midlands thousands","1,966",1966,4,"Between regions"
"Apr 1998 to Mar 1999","North West","East England thousands","594",594,4,"Between regions"
"Apr 1998 to Mar 1999","North West","London thousands","5,454",5454,4,"Between regions"
"Apr 1998 to Mar 1999","North West","South East thousands","1,038",1038,4,"Between regions"
"Apr 1998 to Mar 1999","North West","South West thousands","544",544,4,"Between regions"
"Apr 1998 to Mar 1999","North West","Wales thousands","1,188",1188,4,"Between regions"
"Apr 1998 to Mar 1999","North West","Scotland thousands","1,000",1000,4,"Between regions"
"Apr 1998 to Mar 1999","North West","Journeys within North West thousands","32,613",32613,4,"Within region"
"Apr 1998 to Mar 1999","Scotland","North East thousands","877",877,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","North West thousands","1,000",1000,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","Yorkshire and the Humber thousands","639",639,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","East Midlands thousands","158",158,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","West Midlands thousands","242",242,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","East England thousands","270",270,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","London thousands","1,468",1468,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","South East thousands","285",285,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","South West thousands","174",174,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","Wales thousands","74",74,4,"Between regions"
"Apr 1998 to Mar 1999","Scotland","Journeys within Scotland thousands","49,865",49865,4,"Within region"
"Apr 1998 to Mar 1999","South East","North East thousands","253",253,4,"Between regions"
"Apr 1998 to Mar 1999","South East","North West thousands","1,038",1038,4,"Between regions"
"Apr 1998 to Mar 1999","South East","Yorkshire and the Humber thousands","544",544,4,"Between regions"
"Apr 1998 to Mar 1999","South East","East Midlands thousands","717",717,4,"Between regions"
"Apr 1998 to Mar 1999","South East","West Midlands thousands","1,434",1434,4,"Between regions"
"Apr 1998 to Mar 1999","South East","East England thousands","2,151",2151,4,"Between regions"
"Apr 1998 to Mar 1999","South East","London thousands","112,401",112401,4,"Between regions"
"Apr 1998 to Mar 1999","South East","South West thousands","3,738",3738,4,"Between regions"
"Apr 1998 to Mar 1999","South East","Wales thousands","506",506,4,"Between regions"
"Apr 1998 to Mar 1999","South East","Scotland thousands","285",285,4,"Between regions"
"Apr 1998 to Mar 1999","South East","Journeys within South East thousands","49,619",49619,4,"Within region"
"Apr 1998 to Mar 1999","South West","North East thousands","171",171,4,"Between regions"
"Apr 1998 to Mar 1999","South West","North West thousands","544",544,4,"Between regions"
"Apr 1998 to Mar 1999","South West","Yorkshire and the Humber thousands","381",381,4,"Between regions"
"Apr 1998 to Mar 1999","South West","East Midlands thousands","278",278,4,"Between regions"
"Apr 1998 to Mar 1999","South West","West Midlands thousands","903",903,4,"Between regions"
"Apr 1998 to Mar 1999","South West","East England thousands","399",399,4,"Between regions"
"Apr 1998 to Mar 1999","South West","London thousands","7,222",7222,4,"Between regions"
"Apr 1998 to Mar 1999","South West","South East thousands","3,738",3738,4,"Between regions"
"Apr 1998 to Mar 1999","South West","Wales thousands","1,203",1203,4,"Between regions"
"Apr 1998 to Mar 1999","South West","Scotland thousands","174",174,4,"Between regions"
"Apr 1998 to Mar 1999","South West","Journeys within South West thousands","9,992",9992,4,"Within region"
"Apr 1998 to Mar 1999","Wales","North East thousands","47",47,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","North West thousands","1,188",1188,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","Yorkshire and the Humber thousands","130",130,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","East Midlands thousands","117",117,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","West Midlands thousands","684",684,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","East England thousands","126",126,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","London thousands","1,611",1611,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","South East thousands","506",506,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","South West thousands","1,203",1203,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","Scotland thousands","74",74,4,"Between regions"
"Apr 1998 to Mar 1999","Wales","Journeys within Wales thousands","9,674",9674,4,"Within region"
"Apr 1998 to Mar 1999","West Midlands","North East thousands","201",201,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","North West thousands","1,966",1966,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","Yorkshire and the Humber thousands","590",590,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","East Midlands thousands","1,947",1947,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","East England thousands","476",476,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","London thousands","5,091",5091,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","South East thousands","1,434",1434,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","South West thousands","903",903,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","Wales thousands","684",684,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","Scotland thousands","242",242,4,"Between regions"
"Apr 1998 to Mar 1999","West Midlands","Journeys within West Midlands thousands","15,260",15260,4,"Within region"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","North East thousands","1,135",1135,4,"Between regions"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","North West thousands","3,576",3576,4,"Between regions"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","East Midlands thousands","1,635",1635,4,"Between regions"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","West Midlands thousands","590",590,4,"Between regions"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","East England thousands","548",548,4,"Between regions"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","London thousands","3,632",3632,4,"Between regions"
"Apr 1998 to Mar 1999","Yorkshire and the Humber","South East thousands","544",544,4,"Between regions"
